Eje X,Eje Z
30.02,24.56
29.89,24.65
29.77,24.67
29.68,24.59
29.54,24.72
29.45,24.6
29.32,24.66
29.19,24.78
29.07,24.77
28.97,24.73
28.87,24.65
28.76,24.66
28.64,24.7
28.52,24.73
28.41,24.72
28.3,24.74
28.2,24.7
28.1,24.64
27.99,24.66
27.87,24.67
27.76,24.68
27.66,24.63
27.58,24.47
27.44,24.63
27.35,24.55
27.23,24.62
27.11,24.67
27.0,24.64
26.91,24.53
26.8,24.56
26.68,24.59
26.56,24.65
26.46,24.6
26.35,24.61
26.24,24.63
26.12,24.64
26.02,24.6
25.9,24.65
25.8,24.64
25.69,24.59
25.59,24.58
25.46,24.65
25.35,24.68
25.24,24.67
25.13,24.65
25.02,24.68
24.92,24.6
24.81,24.62
24.7,24.6
24.6,24.58
24.49,24.6
24.39,24.54
24.28,24.51
24.16,24.56
24.05,24.57
23.94,24.57
23.83,24.61
23.72,24.6
23.61,24.61
23.5,24.61
23.39,24.59
23.29,24.54
23.18,24.55
23.07,24.53
22.95,24.62
22.85,24.56
22.73,24.61
22.63,24.54
22.53,24.51
22.42,24.52
22.31,24.51
22.2,24.51
22.09,24.54
21.98,24.54
21.87,24.5
21.76,24.49
21.65,24.54
21.54,24.5
21.44,24.48
21.32,24.53
21.22,24.52
21.11,24.48
21.01,24.48
20.9,24.5
20.79,24.48
20.67,24.57
20.56,24.61
20.47,24.51
20.36,24.5
20.26,24.49
20.16,24.44
20.05,24.4
19.94,24.46
19.82,24.51
19.72,24.48
19.62,24.46
19.51,24.48
19.4,24.49
19.3,24.44
19.2,24.38
19.09,24.43
18.98,24.4
18.87,24.4
18.75,24.51
18.65,24.5
18.55,24.45
18.44,24.47
18.34,24.42
18.23,24.38
18.12,24.42
18.02,24.41
17.9,24.45
17.8,24.39
17.7,24.38
17.59,24.38
17.49,24.36
17.37,24.41
17.27,24.35
17.16,24.41
17.05,24.4
16.95,24.41
16.84,24.38
16.74,24.34
16.63,24.35
16.53,24.31
16.42,24.32
16.31,24.32
16.21,24.28
16.11,24.18
16.0,24.24
15.9,24.15
15.8,24.13
15.7,24.07
15.6,24.01
15.5,23.95
15.39,23.9
15.3,23.76
15.19,23.76
15.1,23.66
15.0,23.61
14.88,23.65
14.78,23.63
14.68,23.57
14.58,23.45
14.48,23.36
14.37,23.39
14.26,23.4
14.17,23.31
14.07,23.24
13.95,23.31
13.85,23.29
13.74,23.35
13.63,23.33
13.53,23.33
13.42,23.33
13.31,23.34
13.21,23.32
13.1,23.31
13.0,23.28
12.9,23.25
12.79,23.25
12.69,23.2
12.57,23.29
12.46,23.36
12.36,23.36
12.25,23.31
12.15,23.33
12.04,23.3
11.94,23.28
11.84,23.25
11.73,23.25
11.62,23.26
11.52,23.26
11.41,23.26
11.31,23.23
11.2,23.25
11.09,23.27
10.99,23.24
10.88,23.29
10.77,23.25
10.66,23.3
10.56,23.26
10.45,23.31
10.35,23.31
10.24,23.24
10.14,23.24
10.03,23.25
9.93,23.23
9.82,23.25
9.71,23.27
9.61,23.27
9.49,23.34
9.39,23.33
9.29,23.22
9.18,23.24
9.08,23.25
8.97,23.27
8.86,23.28
8.76,23.15
8.66,23.17
8.54,23.36
8.43,23.41
8.32,23.49
8.2,23.69
8.09,23.92
7.98,23.97
7.87,24.07
7.76,24.01
7.65,24.1
7.55,24.11
7.44,24.14
7.34,24.09
7.23,24.05
7.13,24.05
7.03,24.01
6.93,23.93
6.82,23.9
6.72,23.84
6.62,23.71
6.53,23.45
6.43,23.31
6.32,23.31
6.22,23.24
6.12,23.21
6.01,23.15
5.91,23.19
5.8,23.23
5.69,23.24
5.59,23.19
5.49,23.19
5.38,23.19
5.28,23.2
5.17,23.16
5.06,23.2
4.96,23.26
4.85,23.19
4.75,23.25
4.64,23.17
4.54,23.06
4.43,23.19
4.33,23.16
4.22,23.14
4.12,23.16
4.01,23.22
3.91,23.22
3.8,23.16
3.7,23.17
3.59,23.18
3.49,23.19
3.38,23.14
3.28,23.08
3.17,23.1
3.07,23.06
2.96,23.02
2.86,23.04
2.75,23.04
2.65,23.04
2.54,23.07
2.44,23.08
2.33,23.06
2.22,23.08
2.12,23.05
2.01,23.06
1.91,23.06
1.8,23.05
1.7,23.04
1.59,23.05
1.49,23.12
1.38,23.01
1.28,23.02
1.17,23.12
1.07,22.99
0.96,22.98
0.86,23.01
0.75,23.04
0.65,23.05
0.54,23.07
0.43,23.09
0.33,23.04
0.22,23.1
0.12,23.1
0.01,23.04
-0.09,23.07
-0.2,23.03
-0.3,23.02
-0.41,23.06
-0.51,23.06
-0.62,23.09
-0.72,23.02
-0.83,23.0
-0.94,23.0
-1.04,22.99
-1.15,22.97
-1.25,22.99
-1.36,22.99
-1.46,23.03
-1.57,23.07
-1.67,23.03
-1.78,23.0
-1.88,22.94
-1.99,22.96
-2.1,22.94
-2.2,23.0
-2.31,22.98
-2.41,22.99
-2.52,22.97
-2.62,22.99
-2.73,22.98
-2.83,23.01
-2.94,22.99
-3.04,22.99
-3.15,22.99
-3.26,22.93
-3.36,22.99
-3.47,22.97
-3.57,22.91
-3.68,22.91
-3.78,22.96
-3.89,22.95
-3.99,22.93
-4.1,22.94
-4.2,22.94
-4.31,22.93
-4.41,22.97
-4.52,22.91
-4.62,22.96
-4.73,22.95
-4.84,22.92
-4.94,22.88
-5.05,22.87
-5.15,22.9
-5.26,22.89
-5.36,22.91
-5.47,22.84
-5.58,22.88
-5.68,22.88
-5.79,22.91
-5.89,22.89
-6.0,22.9
-6.1,22.93
-6.21,22.91
-6.32,22.85
-6.42,22.84
-6.53,22.86
-6.63,22.95
-6.73,22.94
-6.84,22.88
-6.95,22.89
-7.05,22.93
-7.16,23.01
-7.26,23.04
-7.37,23.02
-7.47,23.15
-7.57,23.18
-7.68,23.18
-7.78,23.2
-7.89,23.2
-7.99,23.31
-8.09,23.34
-8.2,23.38
-8.3,23.42
-8.41,23.42
-8.51,23.43
-8.61,23.53
-8.72,23.55
-8.82,23.57
-8.93,23.53
-9.03,23.53
-9.13,23.65
-9.23,23.81
-9.34,23.78
-9.44,23.74
-9.55,23.74
-9.65,23.76
-9.76,23.78
-9.86,23.83
-9.97,23.85
-10.08,23.78
-10.18,23.73
-10.29,23.69
-10.4,23.71
-10.5,23.79
-10.61,23.76
-10.71,23.74
-10.82,23.73
-10.92,23.76
-11.03,23.8
-11.13,23.78
-11.24,23.82
-11.35,23.72
-11.45,23.74
-11.56,23.71
-11.66,23.74
-11.77,23.78
-11.87,23.76
-11.99,23.7
-12.09,23.67
-12.2,23.67
-12.31,23.66
-12.41,23.68
-12.51,23.71
-12.62,23.71
-12.73,23.7
-12.83,23.68
-12.94,23.67
-13.05,23.69
-13.15,23.66
-13.26,23.63
-13.36,23.67
-13.47,23.69
-13.58,23.67
-13.68,23.69
-13.79,23.63
-13.89,23.66
-14.0,23.68
-14.11,23.67
-14.22,23.61
-14.33,23.64
-14.43,23.67
-14.54,23.68
-14.64,23.68
-14.75,23.7
-14.86,23.68
-14.97,23.69
-15.07,23.68
-15.18,23.67
-15.29,23.68
-15.4,23.67
-15.5,23.68
-15.62,23.62
-15.73,23.6
-15.83,23.63
-15.93,23.67
-16.05,23.64
-16.15,23.64
-16.26,23.65
-16.36,23.67
-16.48,23.59
-16.59,23.59
-16.7,23.53
-16.81,23.57
-16.92,23.54
-17.02,23.62
-17.12,23.64
-17.23,23.66
-17.34,23.63
-17.45,23.62
-17.56,23.57
-17.66,23.64
-17.77,23.6
-17.88,23.57
-17.99,23.58
-18.1,23.56
-18.2,23.59
-18.31,23.6
-18.42,23.62
-18.52,23.62
-18.64,23.58
-18.74,23.61
-18.85,23.58
-18.96,23.61
-19.07,23.58
-19.18,23.54
-19.29,23.55
-19.39,23.6
-19.5,23.61
-19.61,23.58
-19.71,23.59
-19.82,23.59
-19.93,23.56
-20.04,23.59
-20.15,23.54
-20.26,23.53
-20.37,23.53
-20.47,23.54
-20.58,23.54
-20.69,23.54
-20.8,23.51
-20.91,23.52
-21.01,23.57
-21.12,23.55
-21.23,23.53
-21.34,23.55
-21.46,23.53
-21.56,23.57
-21.67,23.55
-21.78,23.57
-21.91,23.46
-22.01,23.52
-22.12,23.54
-22.23,23.49
-22.33,23.57
-22.44,23.56
-22.55,23.58
-22.67,23.52
-22.78,23.49
-22.89,23.52
-23.0,23.54
-23.11,23.54
-23.23,23.46
-23.34,23.47
-23.45,23.48
-23.56,23.46
-23.68,23.43
-23.77,23.52
-23.88,23.52
-24.0,23.51
-24.11,23.46
-24.21,23.55
-24.33,23.51
-24.44,23.5
-24.55,23.47
-24.66,23.48
-24.76,23.55
-24.88,23.53
-24.99,23.52
-25.1,23.5
-25.21,23.5
-25.33,23.45
-25.44,23.48
-25.55,23.49
-25.66,23.46
-25.77,23.49
-25.88,23.49
-25.99,23.47
-26.1,23.47
-26.21,23.48
-26.31,23.52
-26.43,23.5
-26.54,23.47
-26.66,23.45
-26.76,23.49
-26.87,23.48
-26.98,23.48
-27.1,23.48
-27.21,23.48
-27.31,23.52
-27.42,23.5
-27.54,23.49
-27.65,23.48
-27.75,23.51
-27.88,23.44
-27.99,23.42
-28.1,23.45
-28.22,23.41
-28.33,23.41
-28.44,23.41
-28.55,23.44
-28.67,23.39
-28.76,23.49
-28.88,23.48
-28.99,23.49
-29.11,23.49
-29.22,23.5
-29.37,23.33
-29.45,23.47
-29.57,23.43
-29.7,23.39
-29.8,23.44
-29.93,23.35
-30.04,23.4
-30.16,23.34
-30.25,23.46
-30.37,23.46
